name;short_description;nc_variable_name;alias;column_index;line_index;max_line_index;description;type;unit;default_value;min_value;max_value;access_path;successful_readings;is_in_opc_data
specParts;Number of special workpieces (user-defined);$AC_SPECIAL_PARTS;;122;;;"Number of current workpieces as defined by user:
This counter enables the user to define his own
workpiece count. The counter is reset to zero automatically
only when the control system boots on defaults.";TYPE_DOUBLE;No unit;0;;;/Channel/State/specParts[u<Channel numb>];/Channel/State/specParts[u1];False
remainDwellTime;Remaining dwell time;;;167;1;1;"Remaining dwell time

Value Range:
See timeOrRevolDwell";TYPE_DOUBLE;Time (s or user defined);0;0.0;;/Channel/State/remainDwellTime[u<Channel numb>, <Line Index>];/Channel/State/remainDwellTime[u1, 1];False
startLockState;Status of the global start disable;;;236;1;1;"Status of the global start disable.
Also see PI _N_STRTLK and _N_STRTUL.

Value Range:
0: No start disable
1: Start disable is switched on and program is not running
2: Start disable is switched on and program is running nevertheless
The NCK changes from 2->1 as soon as the program is stopped.";TYPE_UWORD;No unit;0;0.0;2;/Channel/State/startLockState[u<Channel numb>, <Line Index>];/Channel/State/startLockState[u1, 1];False
simulationSupportS;Support of the JobShop simulation during search;;;227;;1;"Block information for the support of the JobShop simulation during search

Value Range:
Bit0: -
Bit1: -
Bit2: -
Bit3: -
Bit4: Curr. block has PTP active";TYPE_UWORD;No unit;0;0.0;;/Channel/State/simulationSupportS[u<Channel numb>];/Channel/State/simulationSupportS[u1];False
simulationSupport;simulationSupport;;;219;;1;"Block information for the support of the JobShop simulation

Value Range:
Bit0: Change of the transformation in the curr. block
Bit1: Change of the frame in the curr. block
Bit2: Curr. block in an action block
Bit3: Curr. block in the last action block
Bit4: Curr. block has PTP active (as of 510600)";TYPE_UWORD;No unit;0;0.0;;/Channel/State/simulationSupport[u<Channel numb>];/Channel/State/simulationSupport[u1];False
seruproMasterNcuNo;Partner channel NCU, block search waits;;;160;1;1;"The search type SERUPRO (search via program testing) may be
started simultaneously in several channels in order to start a channel grouping
correctly. A search target must be specified in one channel (master channel) in the grouping.
The other channels do not need a search target, they wait until they have reached a 
stop condition and the master channel has reached the search target. These channels generally
stop at WAIT marks. The variable seruproMasterChanNo defines the master channel.
seruproMasterNcuNo specifies the master channel in more detail if it is not on the active NCU.";TYPE_UWORD;No unit;0;0.0;$MN_MM_LINK_NUM_OF_MODULES;/Channel/State/seruproMasterNcuNo[u<Channel numb>, <Line Index>];/Channel/State/seruproMasterNcuNo[u1, 1];False
seruproMasterChanNo;Block search waits for partner channel;;;159;1;1;"The search type SERUPRO (search via program testing) may be
started simultaneously in several channels in order to start a channel grouping
correctly. A search target must be specified in one channel (master channel) in the grouping.
The other channels do not need a search target, they wait until they have reached a 
stop condition and the master channel has reached the search target. These channels generally
stop at WAIT marks. The variable seruproMasterChanNo defines the master channel.";TYPE_UWORD;No unit;0;0.0;numChannels;/Channel/State/seruproMasterChanNo[u<Channel numb>, <Line Index>];/Channel/State/seruproMasterChanNo[u1, 1];False
rotSys;Orientation reference system;$AC_ROT_SYS;;176;1;1;"Reference system for orientation movements with cartesian manual traversal

Value Range:
0: Axis-specific manual traversal active
1: Cartesian manual traversal in basic coordinate system active
2: Cartesian manual traversal in workpiece coordinate system active
3: Cartesian manual traversal in tool coordinate system active";TYPE_UWORD;No unit;0;0.0;3;/Channel/State/rotSys[u<Channel numb>, <Line Index>];/Channel/State/rotSys[u1, 1];False
reqParts;Setpoint number of workpieces;$AC_REQUIRED_PARTS;;119;;;"The variable returns the number of workpieces to be machined (setpoint workpiece count).
The number of workpieces can be defined in this counter, when this number is reached the actual workpiece count ($AC_ACTUAL_PARTS) is reset to '0'.

Value Range:
o Bit 0 = 1: Counter $AC_REQUIRED_PARTS is active
Further meaning of bit 1 only if bit 0 = 1:
o Bit 1 = 0: Alarm/VDI output if $AC_ACTUAL_PARTS equals $AC_REQUIRED_PARTS
o Bit 1 = 1: Alarm/VDI output if $AC_SPECIAL_PARTS equals $AC_REQUIRED_PARTS";TYPE_DOUBLE;No unit;0;;;/Channel/State/reqParts[u<Channel numb>];/Channel/State/reqParts[u1];False
progTNumberLong;No. progr. tool for flat D-no. with max. 8 digits;;;67;1;1;Number of the programmed tool using flat D-numbers with up to 8 digits;TYPE_DWORD;No unit;0;;;/Channel/State/progTNumberLong[u<Channel numb>, <Line Index>];/Channel/State/progTNumberLong[u1, 1];False
rapFeedRateOvr;Rapid traverse override;;;4;;;Rapid traverse override;TYPE_DOUBLE;per cent;;;;/Channel/State/rapFeedRateOvr[u<Channel numb>];/Channel/State/rapFeedRateOvr[u1];False
protocUserActive;Logging: Active users;$MM_PROTOC_USER_ACTIVE;;171;User No. (1-10);10;"Logging: Displays active users

Value Range:
0: User inactive
1: User active";TYPE_UWORD;No unit;0;0.0;1;/Channel/State/protocUserActive[u<Channel numb>, <Line Index>];"/Channel/State/protocUserActive[u1, 1]
/Channel/State/protocUserActive[u1, 2]
/Channel/State/protocUserActive[u1, 3]
/Channel/State/protocUserActive[u1, 4]
/Channel/State/protocUserActive[u1, 5]
/Channel/State/protocUserActive[u1, 6]
/Channel/State/protocUserActive[u1, 7]
/Channel/State/protocUserActive[u1, 8]
/Channel/State/protocUserActive[u1, 9]
/Channel/State/protocUserActive[u1, 10]";False
protocHmiEvent;Activate event in preprocessing;;;276;1;1;"Logging: When writing, the defined event is activated during preprocessing.

Value Range:
49: HMI_TRIG_1
50: HMI_TRIG_2
51: HMI_TRIG_3";TYPE_UWORD;No unit;;0.0;;/Channel/State/protocHmiEvent[u<Channel numb>, <Line Index>];"/Channel/State/protocHmiEvent[u1, 1]
/Channel/State/protocHmiEvent[u1, 2]
/Channel/State/protocHmiEvent[u1, 3]
/Channel/State/protocHmiEvent[u1, 4]
/Channel/State/protocHmiEvent[u1, 5]
/Channel/State/protocHmiEvent[u1, 6]
/Channel/State/protocHmiEvent[u1, 7]
/Channel/State/protocHmiEvent[u1, 8]
/Channel/State/protocHmiEvent[u1, 9]
/Channel/State/protocHmiEvent[u1, 10]";False
protAreaCounter;Protection zone modification counter;;;91;1;1;"Counter is incremented by 1 every time a 
protection zone (block PA) is modified";TYPE_UWORD;No unit;;;;/Channel/State/protAreaCounter[u<Channel numb>, <Line Index>];/Channel/State/protAreaCounter[u1, 1];False
progWaitForEditUnlock;NCK is waiting for the release of an NC program;;;235;1;1;"The variable is used for two possible applications:
1. Notification to HMI that an NC program is to be processed for which a program execution delay was activated by means of the
PI service _N_F_MODE. This is only possible for files of the passive file system of the NCK.

2. Notification to HMI that an NC program is to be processed for which a WRITE lock was set.
This is only possible for files that are available on the CF, network drive or USB device and are processed in EES mode.

The variable contains the complete path name in both cases.";TYPE_STRING;No unit;0;;;/Channel/State/progWaitForEditUnlock[u<Channel numb>, <Line Index>];/Channel/State/progWaitForEditUnlock[u1, 1];False
progToolIdent;Identifier programmed tool;;;35;;1;Identifier of programmed tool (does not yet have to be active);TYPE_STRING;No unit;'\0';;;/Channel/State/progToolIdent[u<Channel numb>];/Channel/State/progToolIdent[u1];False
stopCond;Replaced by stopCondNew;;;7;1;1;Replaced by stopCondNew;TYPE_UWORD;No unit;0;0.0;;/Channel/State/stopCond[u<Channel numb>, <Line Index>];/Channel/State/stopCond[u1, 1];False
